Population,English,Spanish,French,Italian,Portuguese,German,Greek,Russian,Polish,Chinese,Japanese,Korean,Thai,Vietnamese,Arabic,Zipcode
23537.0,13676.0,2398.0,543.0,188.0,157.0,139.0,79.0,170.0,50.0,1772.0,202.0,765.0,55.0,40.0,172.0,10001
80736.0,28311.0,16666.0,765.0,108.0,23.0,134.0,57.0,472.0,114.0,28341.0,338.0,197.0,12.0,160.0,144.0,10002
57112.0,42457.0,3203.0,1269.0,385.0,367.0,292.0,121.0,272.0,68.0,2672.0,618.0,1048.0,0.0,58.0,116.0,10003
3221.0,2504.0,56.0,4.0,0.0,0.0,20.0,0.0,5.0,0.0,165.0,16.0,77.0,0.0,0.0,0.0,10004
8131.0,6050.0,322.0,18.0,29.0,19.0,38.0,39.0,80.0,0.0,283.0,149.0,257.0,23.0,0.0,100.0,10005
3110.0,2126.0,149.0,46.0,28.0,10.0,68.0,4.0,18.0,0.0,55.0,42.0,25.0,0.0,0.0,14.0,10006
6876.0,4889.0,469.0,194.0,52.0,53.0,0.0,8.0,89.0,3.0,294.0,101.0,114.0,0.0,16.0,0.0,10007
60865.0,35041.0,12922.0,955.0,203.0,221.0,481.0,107.0,608.0,810.0,4457.0,361.0,667.0,33.0,32.0,128.0,10009
31447.0,22876.0,1862.0,697.0,221.0,75.0,105.0,0.0,216.0,110.0,1035.0,314.0,376.0,12.0,32.0,113.0,10010
52349.0,37436.0,4181.0,1426.0,620.0,190.0,405.0,133.0,752.0,307.0,1757.0,423.0,535.0,27.0,99.0,85.0,10011
24163.0,16521.0,1466.0,873.0,291.0,122.0,204.0,28.0,193.0,48.0,1984.0,304.0,102.0,0.0,9.0,114.0,10012
27415.0,15460.0,1252.0,469.0,105.0,49.0,142.0,50.0,79.0,21.0,6565.0,162.0,148.0,0.0,61.0,9.0,10013
30727.0,24480.0,1370.0,856.0,491.0,244.0,213.0,161.0,111.0,126.0,302.0,143.0,121.0,0.0,95.0,84.0,10014
50641.0,33815.0,3895.0,1236.0,397.0,162.0,263.0,158.0,561.0,157.0,2552.0,970.0,771.0,26.0,29.0,423.0,10016
16472.0,11231.0,819.0,352.0,194.0,98.0,186.0,111.0,211.0,41.0,920.0,678.0,117.0,14.0,0.0,233.0,10017
9168.0,4940.0,1203.0,252.0,71.0,48.0,47.0,6.0,71.0,147.0,463.0,84.0,679.0,13.0,35.0,26.0,10018
38830.0,24643.0,5029.0,801.0,287.0,352.0,300.0,99.0,551.0,254.0,1631.0,633.0,429.0,95.0,148.0,286.0,10019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020
43573.0,30499.0,2396.0,2013.0,185.0,447.0,397.0,354.0,671.0,78.0,444.0,232.0,300.0,0.0,98.0,306.0,10021
30607.0,22261.0,1434.0,1091.0,490.0,314.0,248.0,112.0,277.0,20.0,730.0,187.0,307.0,59.0,19.0,44.0,10022
60586.0,41807.0,4269.0,1808.0,417.0,409.0,443.0,46.0,615.0,303.0,2083.0,585.0,463.0,224.0,6.0,214.0,10023
58391.0,40847.0,5408.0,1274.0,316.0,597.0,645.0,107.0,520.0,235.0,1042.0,200.0,520.0,0.0,43.0,20.0,10024
96068.0,59561.0,16641.0,2150.0,375.0,649.0,821.0,212.0,653.0,192.0,2465.0,594.0,1006.0,17.0,47.0,239.0,10025
38310.0,23645.0,5949.0,1588.0,207.0,138.0,187.0,6.0,100.0,30.0,998.0,168.0,211.0,0.0,0.0,397.0,10026
64413.0,37569.0,11631.0,2705.0,366.0,149.0,467.0,100.0,277.0,17.0,2750.0,281.0,526.0,44.0,107.0,530.0,10027
46883.0,35801.0,2023.0,1215.0,336.0,192.0,440.0,134.0,816.0,0.0,875.0,283.0,200.0,47.0,17.0,140.0,10028
79251.0,32706.0,32581.0,1292.0,339.0,307.0,129.0,26.0,128.0,107.0,2809.0,435.0,728.0,0.0,8.0,90.0,10029
29209.0,18409.0,5563.0,1781.0,93.0,72.0,48.0,0.0,28.0,11.0,174.0,104.0,7.0,0.0,0.0,55.0,10030
59244.0,22623.0,28415.0,581.0,140.0,137.0,327.0,49.0,87.0,45.0,612.0,42.0,41.0,0.0,0.0,279.0,10031
62685.0,17420.0,37710.0,388.0,42.0,42.0,151.0,42.0,118.0,83.0,486.0,102.0,127.0,10.0,41.0,92.0,10032
59844.0,15590.0,36366.0,306.0,243.0,14.0,247.0,305.0,804.0,23.0,211.0,233.0,156.0,0.0,20.0,141.0,10033
43405.0,10958.0,27859.0,85.0,64.0,17.0,190.0,75.0,127.0,125.0,89.0,76.0,120.0,0.0,0.0,101.0,10034
33920.0,16014.0,12453.0,648.0,233.0,107.0,20.0,52.0,155.0,6.0,466.0,193.0,108.0,0.0,37.0,362.0,10035
25799.0,17332.0,3282.0,298.0,132.0,147.0,283.0,87.0,261.0,40.0,1362.0,298.0,534.0,39.0,25.0,115.0,10036
18777.0,12814.0,3057.0,675.0,31.0,12.0,18.0,0.0,0.0,0.0,127.0,43.0,0.0,0.0,0.0,184.0,10037
21464.0,11589.0,2467.0,283.0,54.0,156.0,52.0,0.0,278.0,17.0,3841.0,86.0,386.0,0.0,18.0,0.0,10038
26697.0,15144.0,6117.0,1112.0,0.0,26.0,10.0,6.0,0.0,0.0,20.0,178.0,8.0,0.0,0.0,115.0,10039
44378.0,11781.0,27816.0,186.0,46.0,73.0,177.0,299.0,316.0,33.0,346.0,175.0,86.0,10.0,11.0,106.0,10040
11783.0,4666.0,1323.0,246.0,149.0,277.0,173.0,30.0,671.0,51.0,1412.0,166.0,284.0,0.0,0.0,262.0,10044
30237.0,21346.0,1648.0,1204.0,352.0,279.0,378.0,241.0,196.0,20.0,651.0,260.0,239.0,0.0,0.0,145.0,10065
5526.0,3421.0,117.0,200.0,107.0,17.0,0.0,16.0,67.0,120.0,89.0,108.0,248.0,0.0,0.0,103.0,10069
25756.0,19364.0,1631.0,537.0,285.0,103.0,28.0,144.0,120.0,159.0,381.0,73.0,149.0,0.0,0.0,34.0,10075
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10110
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10112
