zip,city,state,name,price,rating,review_count,type,latitude,longitude,Select_Dist,Select_Name,Name_Corr,Year_Issued,First_Date_Issued,Last_Date_Issued
60601,Chicago,IL,Wildberry Pancakes and Cafe,$$,4.5,5862,American (New),41.884668,-87.62288000000002,33.76170289689661,WILDBERRY PANCAKES & CAFE,0.9230769230769232,2017,08/31/2015,09/13/2017
60603,Chicago,IL,The Marq,$$,4.0,509,American (New),41.8796191,-87.6299253,12.41688124910465,THE MARQ,1.0,2016,10/24/2014,10/11/2016
60603,Chicago,IL,Cherry Circle Room,$$$,4.5,330,American (New),41.881664276123,-87.62496948242192,41.58718178800911,THE CHERRY CIRCLE ROOM,0.9,2017,05/15/2015,06/30/2017
60603,Chicago,IL,The Berghoff Restaurant,$$,3.5,962,American (New),41.8793326,-87.6286679,21.276030923646445,BERGHOFF'S RESTAURANT,0.8636363636363636,2005,05/10/2004,05/12/2005
60607,Chicago,IL,Girl & the Goat,$$$,4.5,7886,American (New),41.884104999293896,-87.6479440725005,22.3289205963946,GIRL & THE GOAT,1.0,2018,06/21/2012,06/15/2018
60607,Chicago,IL,The Publican,$$$,4.0,3031,American (New),41.886644,-87.648765,11.969668683050113,THE PUBLICAN,1.0,2018,10/08/2008,05/07/2018
60607,Chicago,IL,Roister,$$$$,4.0,493,American (New),41.886524,-87.65186609999998,12.300012137895708,ROISTER,1.0,2018,03/22/2016,03/08/2018
60608,Chicago,IL,Dusek's Board & Beer,$$,4.0,857,American (New),41.857871,-87.65739,5.276383089373807,DUSEK'S BOARD AND BEER / PUNCH HOUSE,0.6785714285714286,2017,08/07/2015,08/30/2017
60608,Chicago,IL,EL Ideas,$$$$,4.5,302,American (New),41.86275,-87.68700000000004,33.28440602287346,EL IDEAS,1.0,2017,09/28/2015,03/02/2017
60608,Chicago,IL,S.K.Y.,$$$,4.5,235,American (New),41.8577851,-87.65787490000002,8.017694132229472,S.K.Y.,1.0,2018,02/13/2018,02/13/2018
60608,Chicago,IL,The Duck Inn,$$$,4.0,398,American (New),41.8444817593219,-87.6601841065537,7.8636233817302355,THE DUCK INN,1.0,2016,11/25/2014,12/07/2016
60608,Chicago,IL,Monnie Burke's,$$,4.5,197,American (New),41.85759,-87.65562,31.26902938094285,MONNIE BURKE'S,1.0,2018,04/27/2018,04/27/2018
60608,Chicago,IL,Nana,$$,4.0,1046,American (New),41.834550484255,-87.64604137072979,14.292916551150842,NANA,1.0,2017,06/22/2009,12/14/2017
60608,Chicago,IL,Azul 18,$$,4.0,248,American (New),41.8580549,-87.65786750000002,2.284035319299559,AZUL 18TH RESTAURANT,0.5185185185185185,2018,05/16/2014,06/14/2018
60610,Chicago,IL,Velvet Taco,$$,4.0,1230,American (New),41.9022,-87.62858,10.359744023354798,VELVET TACO,1.0,2017,01/30/2015,02/22/2017
60610,Chicago,IL,3rd Coast Cafe,$$,4.0,556,American (New),41.90565,-87.63046999999996,23.750789933785466,THE 3RD COAST,0.6666666666666666,2018,02/14/2014,01/17/2018
60611,Chicago,IL,Doc B's Restaurant + Bar,$$,4.5,692,American (New),41.900246,-87.625163,23.25323627124104,DOZO SUSHI & LOBSTER RESTAURANT,0.5454545454545454,2003,09/18/2002,08/13/2003
60611,Chicago,IL,Bandera Restaurant,$$,4.0,1705,American (New),41.8919021875965,-87.62361845773458,33.02123112071339,BANDERA,0.56,2017,05/07/2003,03/07/2017
60611,Chicago,IL,Pinstripes,$$,4.0,483,American (New),41.89084753504649,-87.6161211240793,22.9350896758362,PINSTRIPES,1.0,2017,01/23/2015,03/01/2017
60613,Chicago,IL,PR Italian Bistro,$$,4.0,648,American (New),41.953,-87.65477,10.960802887794726,PR ITALIAN BISTRO,1.0,2014,05/11/2018,05/01/2014
60613,Chicago,IL,Southport & Irving SIP,$$,4.0,515,American (New),41.95452,-87.6644318,14.533401299550073,SOUTHPORT AND IRVING,0.8095238095238095,2012,01/31/2014,12/31/2012
60613,Chicago,IL,The Reservoir,$$,4.0,325,American (New),41.96209890147829,-87.65170454978941,19.17761614198282,RESERVOIR,0.8181818181818182,2018,07/08/2016,07/13/2018
60613,Chicago,IL,Uncommon Ground,$$,3.5,1017,American (New),41.95125,-87.66006999999998,30.75692855905451,UNCOMMON GROUND,1.0,2005,05/06/2010,01/04/2005
60613,Chicago,IL,Kit Kat Lounge & Supper Club,$$,3.5,624,American (New),41.949263828004,-87.6497471053475,13.782678961219867,Kit Kat Lounge and Restaurant,0.631578947368421,2018,05/14/2003,05/22/2018
60614,Chicago,IL,Del Seoul,$,4.5,1929,American (New),41.929444000000004,-87.643016,7.569622723347948,DEL SEOUL,1.0,2018,09/08/2014,09/11/2018
60614,Chicago,IL,Boka,$$$,4.5,1260,American (New),41.9135158,-87.64808590000001,13.927995395482403,BOKA,1.0,2017,04/16/2015,03/16/2017
60614,Chicago,IL,Gemini,$$$,4.0,455,American (New),41.9200319,-87.640967,5.192570051551353,GEMINI BISTRO,0.631578947368421,2017,04/01/2011,03/09/2017
60615,Chicago,IL,Native Foods Cafe,$$,3.5,228,American (New),41.80040200000001,-87.58823000000002,11.141877087786968,NATIVE FOODS CAFE,1.0,2016,01/19/2016,06/02/2016
