zip,city,state,name,price,rating,review_count,type,latitude,longitude
10001,New York,NY,Porteno Restaurant,$$$,4.0,350,Argentine,40.750499,-74.002525
10001,New York,NY,Nuchas,$,3.5,52,Argentine,40.7484811055465,-73.9883382415947
10001,New York,NY,Nuchas Food Truck,$,4.0,35,Argentine,40.750804901123,-73.9966430664062
10002,New York,NY,Balvanera,$$$,4.5,199,Argentine,40.72063,-73.98539
10009,New York,NY,Buenos Aires,$$$,4.0,469,Argentine,40.7253150939941,-73.983039855957
10013,New York,NY,Estancia 460,$$,3.5,118,Argentine,40.72379,-74.0097399
10036,New York,NY,Chimichurri Grill,$$$,4.0,313,Argentine,40.7592856237038,-73.9921118644058
10036,New York,NY,Nuchas,$,3.5,253,Argentine,40.7590051546416,-73.98521099151
10036,New York,NY,Nuchos Artisan Empinadas,$,3.5,2,Argentine,40.7579007525022,-73.9852961355761
10128,New York,NY,Libertador,$$,3.5,413,Argentine,40.77998,-73.95043
10009,New York,NY,Esperanto,$$,3.5,661,Brazilian,40.725474,-73.978054
10009,New York,NY,Gomi Korean Wine Bar,$$,4.5,103,Brazilian,40.72886,-73.9813
10011,New York,NY,Mr Skewer & Co,$$,2.0,3,Brazilian,40.7169132,-74.0037184
10012,New York,NY,Favela Cubana,$$,4.0,843,Brazilian,40.7284702112794,-73.9979839324952
10014,New York,NY,Berimbau Do Brasil,$$,4.0,390,Brazilian,40.730055,-74.0036162
10014,New York,NY,Casa Restaurant,$$$,3.5,233,Brazilian,40.7314969,-74.0048608
10019,New York,NY,Churrascaria Plataforma,$$$$,4.0,1262,Brazilian,40.76202,-73.98765
10019,New York,NY,Fogo de Chão Brazilian Steakhouse,$$$,4.0,976,Brazilian,40.761085,-73.978067
10019,New York,NY,Rice N Beans,$$,4.0,221,Brazilian,40.76352,-73.98852
10029,New York,NY,Paladar Brazilian BBQ & Pizzeria,$,5.0,40,Brazilian,40.79352,-73.93768
10029,New York,NY,Paladar,$$,5.0,5,Brazilian,40.79352,-73.93768
10036,New York,NY,Ipanema Restaurant,$$,4.0,1126,Brazilian,40.757072217349,-73.9807795529175
10036,New York,NY,Samba Kitchen,$$,4.5,348,Brazilian,40.76095,-73.99115
10036,New York,NY,Emporium Brasil,$$,4.0,217,Brazilian,40.75653,-73.97989
10036,New York,NY,Brazil Brazil,$$,3.5,370,Brazilian,40.760086,-73.989191
10036,New York,NY,Via Brasil Restaurant,$$,4.0,159,Brazilian,40.75665,-73.98072
10038,New York,NY,Cafe Patoro,$,4.5,134,Brazilian,40.7072720974983,-74.0023160353303
10002,New York,NY,The Fat Radish,$$$,3.5,526,British,40.715293924183,-73.9917185036817
10003,New York,NY,The Winslow,$$,4.5,460,British,40.7327766418457,-73.9852142333984
10003,New York,NY,Lillie's Victorian Establishment,$$,3.5,1011,British,40.737661,-73.991113
10010,New York,NY,The Clocktower,$$$,4.0,312,British,40.74133,-73.98747
10011,New York,NY,Tea & Sympathy,$$,3.5,798,British,40.738175114449,-74.001898149974
10012,New York,NY,GMT Tavern,$$,3.5,195,British,40.7280325954126,-73.999104554426
10014,New York,NY,Oscar's Place,$$,4.5,175,British,40.7318649,-74.0064011
10016,New York,NY,The Shakespeare,$$,4.0,333,British,40.7506062,-73.9801755
10016,New York,NY,The Churchill Tavern,$$,3.5,219,British,40.7435888,-73.9844841
10018,New York,NY,Carragher's Pub & Restaurant,$$,4.0,190,British,40.7544,-73.9895415
10019,New York,NY,Bluebird London NYC,$$,3.5,116,British,40.76847,-73.983092
10036,New York,NY,Cock & Bull,$$,4.0,479,British,40.7560908823673,-73.9804858350908
10036,New York,NY,Channel 4 Restaurant,$$,2.0,2,British,40.7581071254435,-73.9803779125214
10065,New York,NY,The Spotted Dog,$$,4.0,95,British,40.7623521711694,-73.9597779041227
10128,New York,NY,The Milton,$$,4.0,356,British,40.78123,-73.94893
10002,New York,NY,Mehanata,$$,3.5,381,Bulgarian,40.71949,-73.98892
10001,New York,NY,CajunSea & Oyster Bar,$$,4.0,1023,Cajun/Creole,40.7483352,-73.9867701
10001,New York,NY,Cajun Cafe,$$,4.0,1,Cajun/Creole,40.74939,-73.98911
10002,New York,NY,The Boil,$$,4.5,1719,Cajun/Creole,40.71974,-73.99339
10002,New York,NY,Claw Daddy's,$$,4.0,1277,Cajun/Creole,40.722071,-73.98847
10002,New York,NY,My Noodle Station,$$,4.5,34,Cajun/Creole,40.715,-73.99369
10002,New York,NY,Bad Bunny,$$,3.0,2,Cajun/Creole,40.72057,-73.98887
10003,New York,NY,The Boil,$$,4.0,605,Cajun/Creole,40.7302644713689,-73.9943788112708
10003,New York,NY,Ducks Eatery,$$,4.0,581,Cajun/Creole,40.7306252,-73.9846268
10003,New York,NY,Le Sia,$$,4.0,163,Cajun/Creole,40.728886,-73.989841
10007,New York,NY,1803,$$,4.0,172,Cajun/Creole,40.715498,-74.007178
10011,New York,NY,Hot N Juicy Crawfish,$$,4.5,320,Cajun/Creole,40.7395099255823,-74.0016006497376
10022,New York,NY,Le Bilboquet,$$$,3.5,123,Cajun/Creole,40.76381,-73.97058
10022,New York,NY,The Juicy Seafood,$$,4.0,40,Cajun/Creole,40.7582499,-73.96633
10025,New York,NY,Shaking Crab - Upper West Side,$$,3.5,228,Cajun/Creole,40.80522,-73.96639
10027,New York,NY,Loui Loui,$$,4.0,92,Cajun/Creole,40.81431,-73.9598
10036,New York,NY,Bourbon Street Bar & Grille,$$,3.5,804,Cajun/Creole,40.7603187561035,-73.9897842407227
10036,New York,NY,Bubba Gump Shrimp Co.,$$,3.5,930,Cajun/Creole,40.757194,-73.9864036
10038,New York,NY,Cajun Cafe,$$,3.0,1,Cajun/Creole,40.706348,-74.003838
10038,New York,NY,Cajun Cafe - Food Court In South Street Seaport,$$,3.0,1,Cajun/Creole,40.70701,-74.00356
10128,New York,NY,Infirmary,$$,4.0,477,Cajun/Creole,40.7799512,-73.9498632
10001,New York,NY,B&B Restaurant Corporation,$,4.5,125,Caribbean,40.7459112,-73.9936086
10009,New York,NY,Miss Lily's 7A,$$,4.0,539,Caribbean,40.726019,-73.9837551
10012,New York,NY,Negril Village,$$,3.5,1116,Caribbean,40.729352,-73.9983558
10012,New York,NY,Miss Lily's,$$,3.5,980,Caribbean,40.7279368007065,-74.0015595607808
10017,New York,NY,Jerk Pan,$,4.0,106,Caribbean,40.7558856007975,-73.9747852555893
10025,New York,NY,Freda's Caribbean & Soul Cuisine,$$,4.0,486,Caribbean,40.80095,-73.96141
10025,New York,NY,Tropical Sensation,$$,3.5,123,Caribbean,40.800816,-73.965018
10026,New York,NY,Kingston,$$,4.0,99,Caribbean,40.8033638000488,-73.9535980224609
10027,New York,NY,Angel of Harlem,$$,3.5,376,Caribbean,40.807978,-73.952365
10027,New York,NY,Solomon and Kuff,$$,3.5,316,Caribbean,40.82005,-73.9586099
10029,New York,NY,Elma's,$,4.5,20,Caribbean,40.7973484,-73.944994
10030,New York,NY,Jerkyz,$,4.0,96,Caribbean,40.818443,-73.941917
10031,New York,NY,Wat's On Your Plate,$,4.0,55,Caribbean,40.8258666992188,-73.9483795166016
10031,New York,NY,One Stop Patty Shop,$,4.0,31,Caribbean,40.82498,-73.94802
10032,New York,NY,Blue Mountain Heights Cafe & Bar,$$,4.5,28,Caribbean,40.83346,-73.94116
10032,New York,NY,Empanadas Monumental,$,3.5,54,Caribbean,40.8445,-73.9391
10034,New York,NY,Pick & Eat,$$,3.5,70,Caribbean,40.8675339818001,-73.9215114712715
10034,New York,NY,El Lina Restaurant,$$,4.5,21,Caribbean,40.8642807006836,-73.91943359375
10035,New York,NY,Sisters' Caribbean Cuisine,$$,4.0,128,Caribbean,40.80503,-73.94082
10040,New York,NY,809 Sangria Bar & Grill,$$,4.0,204,Caribbean,40.86196,-73.9252
10040,New York,NY,Cañave,$$,4.5,38,Caribbean,40.864528,-73.9289005151705
10040,New York,NY,Dyckman Express Restaurant,$,3.0,86,Caribbean,40.86184,-73.92468
10002,New York,NY,99 Favor Taste,$$,4.0,1512,Chinese,40.7176199,-73.99249
10002,New York,NY,Wah Fung No 1 Fast Food,$,4.5,1092,Chinese,40.71735,-73.99457
10002,New York,NY,Vanessa's Dumpling House,$,4.0,2385,Chinese,40.71839,-73.9917399
10002,New York,NY,Shu Jiao Fu Zhou Cuisine Restaurant,$,4.5,600,Chinese,40.7184290357839,-73.9916928979573
10002,New York,NY,Super Taste,$,4.0,495,Chinese,40.71511,-73.99332
10002,New York,NY,Spicy Village,$,4.0,561,Chinese,40.71695,-73.99327
10002,New York,NY,Sun Hing Lung Co,$,4.5,157,Chinese,40.71275,-73.99508
10002,New York,NY,Ling Kee Beef Jerky,$,4.5,153,Chinese,40.71466,-73.99148
10002,New York,NY,China North Dumpling,$,4.0,280,Chinese,40.7158,-73.9898
10003,New York,NY,Xi'an Famous Foods,$,4.0,1543,Chinese,40.7279,-73.98541
10003,New York,NY,BaoHaus,$,3.5,1844,Chinese,40.7324690923782,-73.9857136011124
10003,New York,NY,The Bao,$$,3.5,991,Chinese,40.72939,-73.9889199
10003,New York,NY,99 Favor Taste,$$,4.0,376,Chinese,40.728833,-73.988094
10003,New York,NY,Clay Pot NYC,$$,4.5,195,Chinese,40.7279880270274,-73.9865907985248
10003,New York,NY,Mimi Cheng's Dumplings,$$,3.5,598,Chinese,40.7305254,-73.986285
10003,New York,NY,Vanessa's Dumpling House,$,3.5,1011,Chinese,40.73277,-73.98636
10009,New York,NY,Tuome,$$$,4.5,368,Chinese,40.72412482724,-73.9828906263924
10009,New York,NY,MáLà Project,$$,4.0,492,Chinese,40.72713,-73.98542
10009,New York,NY,Dian Kitchen,$$,5.0,116,Chinese,40.72762,-73.9832799
10010,New York,NY,Burp Bowl Cafe,$,4.5,176,Chinese,40.74183,-73.98271
10011,New York,NY,Buddakan,$$$,4.0,3660,Chinese,40.7422762672197,-74.0048000961542
10011,New York,NY,Very Fresh Noodles,$$,4.0,681,Chinese,40.7423387008486,-74.00625
10011,New York,NY,Calle Dao - Chelsea,$$,4.5,362,Chinese,40.7476515,-74.0037312
10012,New York,NY,Chow House,$$,4.5,175,Chinese,40.72915,-74.00072
10012,New York,NY,Uncle Ted's Modern Chinese Cuisine,$$,4.0,414,Chinese,40.72882,-73.999961
10013,New York,NY,88 Lan Zhou Handmade Noodles,$,4.0,1591,Chinese,40.7155,-73.99675
10013,New York,NY,Nyonya,$$,4.0,1907,Chinese,40.7190148,-73.9968228
