Zipcode,Total,Less than HS,High School,Some College Assoc Degree,Bachelor Degree,Grad Degree or PHD,Area,success_count
60607,19377.0,903.0,1359.0,1938.0,7661.0,7516.0,Central,52.0
60609,37530.0,10055.0,15022.0,7556.0,3161.0,1736.0,South Side,2.0
60625,57018.0,8863.0,10062.0,10686.0,17244.0,10163.0,Far North Side,58.0
60646,20025.0,1382.0,3722.0,4255.0,6499.0,4167.0,Far North Side,16.0
60652,27213.0,4168.0,8216.0,9108.0,3710.0,2011.0,Far South West Side,6.0
60611,27747.0,154.0,1224.0,3328.0,10395.0,12646.0,Central,29.0
60616,39545.0,6698.0,8519.0,8158.0,8827.0,7343.0,Central,26.0
60651,38064.0,9570.0,13015.0,10326.0,3510.0,1643.0,West Side,1.0
60604,492.0,6.0,18.0,46.0,147.0,275.0,Central,2.0
60612,22286.0,3824.0,5347.0,5918.0,4288.0,2909.0,West Side,8.0
60613,38329.0,1141.0,3377.0,5381.0,17604.0,10826.0,Far North Side,23.0
60617,52361.0,10950.0,16844.0,16144.0,5494.0,2929.0,Far South East Side,14.0
60618,67123.0,10904.0,12569.0,13531.0,18981.0,11138.0,North Side,45.0
60624,21514.0,5470.0,7795.0,6667.0,1087.0,495.0,West Side,2.0
60626,34393.0,4325.0,6664.0,8149.0,8835.0,6420.0,Far North Side,16.0
60630,41402.0,4758.0,11148.0,10920.0,9575.0,5001.0,Far North Side,13.0
60632,54303.0,20161.0,18985.0,9924.0,3945.0,1288.0,South West Side,7.0
60645,32018.0,5210.0,6835.0,6505.0,8382.0,5086.0,Far North Side,9.0
60653,20441.0,3282.0,4318.0,6594.0,3473.0,2774.0,South Side,2.0
60654,15448.0,228.0,475.0,1420.0,7425.0,5900.0,Central,41.0
60657,53827.0,969.0,2665.0,6228.0,25738.0,18227.0,North Side,65.0
60659,26846.0,5027.0,5772.0,6166.0,6370.0,3511.0,Far North Side,37.0
60603,671.0,0.0,5.0,28.0,275.0,363.0,Central,13.0
60614,49887.0,1167.0,2708.0,4324.0,24433.0,17255.0,North Side,63.0
60615,27891.0,1769.0,3671.0,6478.0,6520.0,9453.0,South Side,6.0
60619,42865.0,4964.0,12035.0,16057.0,6006.0,3803.0,Far South East Side,3.0
60621,18689.0,4549.0,6642.0,6048.0,1034.0,416.0,South Side,1.0
60636,23079.0,4911.0,9578.0,6445.0,1347.0,798.0,South West Side,
60639,54986.0,20849.0,15992.0,11694.0,4593.0,1858.0,North West Side,14.0
60643,35284.0,3101.0,7668.0,11987.0,6486.0,6042.0,Far South West Side,7.0
60647,61787.0,8194.0,12045.0,11064.0,19313.0,11171.0,North Side,68.0
60642,15652.0,1299.0,1302.0,2448.0,6884.0,3719.0,Central,17.0
60656,20633.0,1873.0,4901.0,5964.0,5318.0,2577.0,Far North Side,2.0
60628,44483.0,6552.0,12415.0,17132.0,5172.0,3212.0,Far South East Side,4.0
60641,48446.0,9731.0,12754.0,12021.0,8941.0,4999.0,North West Side,15.0
60601,11307.0,45.0,653.0,1464.0,4275.0,4870.0,Central,4.0
60608,52772.0,16108.0,12951.0,10143.0,9164.0,4406.0,South Side,36.0
60620,47168.0,7064.0,14370.0,17740.0,5131.0,2863.0,Far South West Side,3.0
60634,52956.0,7584.0,17192.0,15846.0,8543.0,3791.0,North West Side,33.0
60637,27887.0,3742.0,5779.0,9093.0,3997.0,5276.0,South Side,3.0
60644,29807.0,6835.0,10674.0,8924.0,2319.0,1055.0,West Side,1.0
60605,19702.0,476.0,1048.0,2741.0,7357.0,8080.0,Central,24.0
60606,2673.0,0.0,53.0,70.0,1368.0,1182.0,Central,10.0
60623,50971.0,21594.0,14167.0,10474.0,3457.0,1279.0,West Side,10.0
60629,67419.0,20898.0,24901.0,15886.0,4314.0,1420.0,South West Side,13.0
60633,8979.0,1225.0,3418.0,3021.0,897.0,418.0,Far South East Side,3.0
60638,40115.0,6340.0,13856.0,11958.0,5412.0,2549.0,South West Side,9.0
60640,54554.0,5688.0,8428.0,10023.0,18688.0,11727.0,Far North Side,60.0
60649,30299.0,3448.0,7013.0,11929.0,4515.0,3394.0,South Side,4.0
60655,19241.0,705.0,4364.0,6310.0,4898.0,2964.0,Far South West Side,3.0
60661,7799.0,38.0,301.0,471.0,3438.0,3551.0,Central,16.0
60631,22015.0,1429.0,5685.0,6233.0,5409.0,3259.0,Far North Side,9.0
60610,31899.0,1377.0,2383.0,5143.0,12674.0,10322.0,Central,15.0
60622,41452.0,3649.0,4092.0,5934.0,17785.0,9992.0,West Side,63.0
60660,32545.0,3163.0,5790.0,6784.0,9796.0,7012.0,Far North Side,20.0
60602,947.0,0.0,0.0,157.0,451.0,339.0,Central,9.0
