Zipcode,Total,< 10K,< 25K,< 35K,< 50K,< 75K,< 100K,< 150K,> 150K,Area,success_count,success_count_Area
60607,4745.0,26.0,52.0,83.0,102.0,406.0,786.0,984.0,2306.0,Central,52.0,52.0
60609,4789.0,163.0,433.0,439.0,660.0,1171.0,721.0,740.0,462.0,South Side,2.0,2.0
60625,8341.0,129.0,386.0,346.0,395.0,1139.0,1122.0,2101.0,2723.0,Far North Side,58.0,58.0
60646,4790.0,109.0,70.0,175.0,304.0,360.0,587.0,1124.0,2061.0,Far North Side,16.0,16.0
60652,8524.0,132.0,526.0,574.0,718.0,2037.0,1632.0,1961.0,944.0,Far South West Side,6.0,6.0
60611,5126.0,205.0,291.0,130.0,256.0,521.0,442.0,882.0,2399.0,Central,29.0,29.0
60616,5802.0,202.0,344.0,228.0,545.0,972.0,774.0,1316.0,1421.0,Central,26.0,26.0
60651,5545.0,284.0,709.0,496.0,852.0,1223.0,756.0,775.0,450.0,West Side,1.0,1.0
60604,95.0,0.0,5.0,0.0,0.0,24.0,8.0,3.0,55.0,Central,2.0,2.0
60612,2436.0,48.0,109.0,84.0,157.0,488.0,396.0,547.0,607.0,West Side,8.0,8.0
60613,8028.0,150.0,180.0,230.0,350.0,900.0,1025.0,1840.0,3353.0,Far North Side,23.0,23.0
60617,9444.0,532.0,1141.0,1039.0,1248.0,1883.0,1445.0,1570.0,586.0,Far South East Side,14.0,14.0
60618,11912.0,185.0,503.0,334.0,740.0,1306.0,1665.0,2596.0,4583.0,North Side,45.0,45.0
60624,1827.0,215.0,252.0,169.0,273.0,353.0,279.0,217.0,69.0,West Side,2.0,2.0
60626,3827.0,117.0,292.0,111.0,365.0,576.0,730.0,780.0,856.0,Far North Side,16.0,16.0
60630,8713.0,86.0,412.0,276.0,793.0,1418.0,1558.0,2004.0,2166.0,Far North Side,13.0,13.0
60632,8493.0,139.0,684.0,858.0,1710.0,1968.0,1235.0,1446.0,453.0,South West Side,7.0,7.0
60645,5371.0,73.0,275.0,347.0,625.0,869.0,785.0,1159.0,1238.0,Far North Side,9.0,9.0
60653,2913.0,74.0,134.0,112.0,224.0,458.0,420.0,680.0,811.0,South Side,2.0,2.0
60654,3303.0,45.0,13.0,58.0,111.0,451.0,283.0,603.0,1739.0,Central,41.0,41.0
60657,10783.0,222.0,149.0,61.0,392.0,1017.0,1033.0,2193.0,5716.0,North Side,65.0,65.0
60659,3400.0,64.0,200.0,133.0,470.0,465.0,666.0,684.0,718.0,Far North Side,37.0,37.0
60603,209.0,0.0,19.0,0.0,5.0,12.0,12.0,27.0,134.0,Central,13.0,13.0
60614,10370.0,139.0,178.0,93.0,198.0,791.0,792.0,2001.0,6178.0,North Side,63.0,63.0
60615,3770.0,96.0,180.0,102.0,220.0,593.0,688.0,691.0,1200.0,South Side,6.0,6.0
60619,7046.0,428.0,835.0,544.0,678.0,1532.0,1257.0,1198.0,574.0,Far South East Side,3.0,3.0
60621,1460.0,76.0,331.0,220.0,206.0,217.0,194.0,138.0,78.0,South Side,1.0,1.0
60636,2433.0,198.0,467.0,272.0,328.0,557.0,224.0,273.0,114.0,South West Side,0.0,
60639,8523.0,207.0,715.0,801.0,1345.0,2015.0,1301.0,1411.0,728.0,North West Side,14.0,14.0
60643,9100.0,296.0,652.0,726.0,934.0,1412.0,1446.0,1617.0,2017.0,Far South West Side,7.0,7.0
60647,10401.0,129.0,427.0,490.0,492.0,1375.0,1552.0,2193.0,3743.0,North Side,68.0,68.0
60642,2884.0,33.0,54.0,66.0,101.0,237.0,283.0,675.0,1435.0,Central,17.0,17.0
60656,4199.0,42.0,238.0,148.0,383.0,730.0,627.0,1023.0,1008.0,Far North Side,2.0,2.0
60628,8121.0,481.0,1073.0,779.0,1143.0,1510.0,1189.0,1413.0,533.0,Far South East Side,4.0,4.0
60641,8472.0,142.0,377.0,724.0,602.0,1675.0,1305.0,1915.0,1732.0,North West Side,15.0,15.0
60601,2223.0,68.0,116.0,0.0,254.0,92.0,167.0,289.0,1237.0,Central,4.0,4.0
60608,5429.0,151.0,303.0,403.0,632.0,1194.0,710.0,1197.0,839.0,South Side,36.0,36.0
60620,7305.0,318.0,962.0,559.0,1036.0,1589.0,1262.0,1055.0,524.0,Far South West Side,3.0,3.0
60634,11957.0,393.0,699.0,845.0,1036.0,2260.0,2131.0,2880.0,1713.0,North West Side,33.0,33.0
60637,3241.0,189.0,227.0,219.0,303.0,566.0,469.0,516.0,752.0,South Side,3.0,3.0
60644,2882.0,127.0,378.0,243.0,391.0,614.0,424.0,469.0,236.0,West Side,1.0,1.0
60605,5456.0,46.0,9.0,109.0,55.0,749.0,893.0,1347.0,2248.0,Central,24.0,24.0
60606,592.0,15.0,55.0,0.0,17.0,15.0,0.0,133.0,357.0,Central,10.0,10.0
60623,5006.0,108.0,761.0,506.0,987.0,1073.0,768.0,584.0,219.0,West Side,10.0,10.0
60629,12428.0,308.0,667.0,1180.0,2426.0,3204.0,1975.0,2101.0,567.0,South West Side,13.0,13.0
60633,1767.0,36.0,190.0,155.0,208.0,248.0,317.0,366.0,247.0,Far South East Side,3.0,3.0
60638,9625.0,214.0,434.0,447.0,843.0,1934.0,1643.0,2428.0,1682.0,South West Side,9.0,9.0
60640,8074.0,175.0,233.0,226.0,470.0,1336.0,1223.0,1604.0,2807.0,Far North Side,60.0,60.0
60649,3275.0,284.0,309.0,158.0,294.0,638.0,632.0,463.0,497.0,South Side,4.0,4.0
60655,6199.0,107.0,160.0,121.0,362.0,567.0,1278.0,1663.0,1941.0,Far South West Side,3.0,3.0
60661,1469.0,18.0,0.0,21.0,39.0,72.0,158.0,332.0,829.0,Central,16.0,16.0
60631,5484.0,133.0,85.0,94.0,285.0,740.0,729.0,1452.0,1966.0,Far North Side,9.0,9.0
60610,5585.0,170.0,174.0,62.0,235.0,490.0,754.0,1114.0,2586.0,Central,15.0,15.0
60622,6933.0,92.0,217.0,126.0,262.0,498.0,656.0,1439.0,3643.0,West Side,63.0,63.0
60660,5210.0,143.0,227.0,241.0,551.0,920.0,772.0,1141.0,1215.0,Far North Side,20.0,20.0
60602,63.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,52.0,Central,9.0,9.0
