Zipcode,Total,Car Truck Van,Drove Alone,Carpool,Carpool 2 People,Carpool 3 People,Carpool 4 or more,Public Transportation,Bus,Streetcar,Subway or El,Railroad,Ferryboat,Bicycle,Walk,Taxi Motorcycle Other,Work from Home,Area,success_count
60607,17654.0,6279.0,5691.0,588.0,476.0,45.0,67.0,4976.0,2671.0,36.0,1807.0,462.0,0.0,484.0,4491.0,341.0,1083.0,Central,52.0
60609,23359.0,15890.0,12346.0,3544.0,2564.0,636.0,344.0,5406.0,3619.0,30.0,1599.0,158.0,0.0,172.0,1282.0,121.0,488.0,South Side,2.0
60625,44505.0,23355.0,20235.0,3120.0,2425.0,490.0,205.0,15308.0,4338.0,130.0,9754.0,1086.0,0.0,739.0,2462.0,526.0,2115.0,Far North Side,58.0
60646,12740.0,10242.0,9326.0,916.0,626.0,198.0,92.0,1561.0,344.0,0.0,596.0,621.0,0.0,36.0,241.0,98.0,562.0,Far North Side,16.0
60652,18821.0,15477.0,13165.0,2312.0,1949.0,176.0,187.0,2764.0,1259.0,12.0,1182.0,311.0,0.0,0.0,44.0,127.0,409.0,Far South West Side,6.0
60611,19289.0,5341.0,4965.0,376.0,261.0,71.0,44.0,4002.0,2486.0,0.0,1380.0,119.0,17.0,263.0,6866.0,1285.0,1532.0,Central,29.0
60616,26399.0,14207.0,11263.0,2944.0,1872.0,499.0,573.0,6765.0,4702.0,36.0,1876.0,151.0,0.0,546.0,2889.0,777.0,1215.0,Central,26.0
60651,23511.0,15942.0,13270.0,2672.0,2001.0,462.0,209.0,5297.0,4451.0,18.0,755.0,73.0,0.0,388.0,489.0,587.0,808.0,West Side,1.0
60604,437.0,56.0,56.0,0.0,0.0,0.0,0.0,81.0,30.0,0.0,40.0,11.0,0.0,0.0,245.0,15.0,40.0,Central,2.0
60612,14361.0,6877.0,6198.0,679.0,562.0,96.0,21.0,4989.0,3362.0,39.0,1472.0,116.0,0.0,489.0,813.0,302.0,891.0,West Side,8.0
60613,35022.0,13085.0,11488.0,1597.0,1234.0,262.0,101.0,16214.0,5978.0,105.0,9764.0,367.0,0.0,991.0,1799.0,449.0,2484.0,Far North Side,23.0
60617,29902.0,21231.0,18687.0,2544.0,2134.0,206.0,204.0,6998.0,5961.0,54.0,490.0,493.0,0.0,81.0,650.0,221.0,721.0,Far South East Side,14.0
60618,52120.0,29533.0,25231.0,4302.0,2928.0,1019.0,355.0,15641.0,5100.0,28.0,10137.0,376.0,0.0,1001.0,2121.0,527.0,3297.0,North Side,45.0
60624,10361.0,5797.0,5408.0,389.0,227.0,94.0,68.0,3658.0,3093.0,57.0,486.0,22.0,0.0,27.0,166.0,378.0,335.0,West Side,2.0
60626,27086.0,10645.0,9275.0,1370.0,1160.0,157.0,53.0,11903.0,3813.0,20.0,6763.0,1307.0,0.0,641.0,1886.0,494.0,1517.0,Far North Side,16.0
60630,28885.0,21070.0,18567.0,2503.0,1763.0,386.0,354.0,6202.0,1994.0,0.0,3439.0,755.0,14.0,214.0,409.0,213.0,777.0,Far North Side,13.0
60632,37988.0,28256.0,21975.0,6281.0,4065.0,1355.0,861.0,7282.0,4130.0,72.0,2897.0,183.0,0.0,164.0,1516.0,293.0,477.0,South West Side,7.0
60645,20272.0,13500.0,11564.0,1936.0,1655.0,94.0,187.0,4065.0,1940.0,10.0,1368.0,747.0,0.0,299.0,1252.0,375.0,781.0,Far North Side,9.0
60653,11530.0,6427.0,5633.0,794.0,651.0,96.0,47.0,3545.0,2054.0,0.0,1339.0,152.0,0.0,99.0,488.0,219.0,752.0,South Side,2.0
60654,13683.0,3333.0,3095.0,238.0,207.0,0.0,31.0,2143.0,623.0,0.0,1357.0,136.0,27.0,146.0,6052.0,798.0,1211.0,Central,41.0
60657,49636.0,16338.0,14451.0,1887.0,1484.0,216.0,187.0,25244.0,9460.0,172.0,15211.0,401.0,0.0,1118.0,2453.0,938.0,3545.0,North Side,65.0
