zip,Total Restaurants,Avg Rating,Total Reviews,Median Reviews,Avg Reviews,Avg Price (# of $),Total CTA Stops,Latitude,Longitude
60601,14,3.5,11535,397.5,823.9285714285714,1.9285714285714286,52.0,41.88531,-87.622116
60602,11,3.8636363636363638,4086,390.0,371.45454545454544,1.4545454545454546,39.0,41.883072999999996,-87.629149
60603,25,3.68,14205,509.0,568.2,2.04,11.0,41.880188000000004,-87.625509
60604,2,4.0,813,406.5,406.5,1.5,58.0,41.878095,-87.628461
60605,32,3.953125,14871,334.0,464.71875,1.875,60.0,41.867566,-87.617228
60606,19,3.8684210526315788,6049,172.0,318.36842105263156,1.4736842105263157,45.0,41.882065999999995,-87.637349
60607,64,3.9765625,34794,347.0,543.65625,2.125,170.0,41.87493,-87.651596
60608,42,4.130952380952381,11817,236.0,281.35714285714283,1.7142857142857142,268.0,41.84688,-87.670664
60609,2,4.5,76,38.0,38.0,1.0,294.0,41.81268,-87.656935
60610,23,3.891304347826087,9344,265.0,406.2608695652174,1.8695652173913044,120.0,41.906772,-87.632231
60611,59,3.7288135593220337,47644,578.0,807.5254237288135,2.2542372881355934,44.0,41.8957,-87.613775
60612,9,4.111111111111111,1243,150.0,138.11111111111111,1.3333333333333333,272.0,41.880320000000005,-87.687749
60613,31,3.967741935483871,13682,325.0,441.35483870967744,1.6774193548387097,177.0,41.956949,-87.65427199999999
60614,78,3.9935897435897436,39486,351.5,506.2307692307692,1.9615384615384615,143.0,41.922714,-87.64957700000001
60615,26,3.5576923076923075,4438,131.0,170.69230769230768,1.7307692307692308,188.0,41.801646999999996,-87.596288
60616,43,3.813953488372093,14609,306.0,339.74418604651163,1.813953488372093,239.0,41.844883,-87.624032
60617,30,3.566666666666667,515,10.5,17.166666666666668,1.3666666666666667,312.0,41.718196999999996,-87.552739
60618,58,4.051724137931035,17691,230.5,305.01724137931035,1.7586206896551724,211.0,41.946962,-87.702548
60619,19,3.0526315789473686,187,8.0,9.842105263157896,1.736842105263158,386.0,41.74369,-87.605526
60620,8,3.0625,153,9.0,19.125,1.625,269.0,41.740497,-87.652558
60621,1,4.5,11,11.0,11.0,2.0,311.0,41.776382,-87.639572
60622,76,4.0131578947368425,36330,364.5,478.0263157894737,1.9342105263157894,208.0,41.902172,-87.683337
60623,10,4.35,1104,116.5,110.4,1.4,292.0,41.848896999999994,-87.71766099999999
60624,2,4.25,229,114.5,114.5,1.5,217.0,41.880503999999995,-87.72444399999999
60625,75,4.026666666666666,21216,202.0,282.88,1.72,215.0,41.973292,-87.700351
60626,24,3.9166666666666665,3949,114.0,164.54166666666666,1.375,94.0,42.010019,-87.66709499999999
60628,13,3.3076923076923075,163,9.0,12.538461538461538,1.3076923076923077,243.0,41.690875,-87.615773
60629,20,3.875,2058,80.0,102.9,1.45,210.0,41.775868,-87.711496
60630,31,3.6129032258064515,2992,87.0,96.51612903225806,1.4516129032258065,224.0,41.972071,-87.756569
60631,18,3.638888888888889,3104,170.5,172.44444444444446,1.7222222222222223,98.0,41.994855,-87.81300300000001
60632,13,3.923076923076923,931,49.0,71.61538461538461,1.5384615384615385,326.0,41.810165999999995,-87.713252
60633,5,3.7,93,14.0,18.6,1.2,53.0,41.663809,-87.56147
60634,53,3.80188679245283,6631,84.0,125.11320754716981,1.528301886792453,205.0,41.946189000000004,-87.806117
60637,9,3.5,681,18.0,75.66666666666667,1.8888888888888888,253.0,41.781621,-87.599876
60638,25,3.58,1786,39.0,71.44,1.6,217.0,41.78143,-87.77051999999999
60639,18,4.055555555555555,1532,45.0,85.11111111111111,1.2222222222222223,241.0,41.920552,-87.756054
60640,80,4.01875,26748,245.5,334.35,1.7125,176.0,41.972871999999995,-87.662604
60641,25,3.72,4492,154.0,179.68,1.8,291.0,41.946606,-87.746787
60642,20,3.925,10050,392.5,502.5,1.95,117.0,41.902042,-87.65854399999999
60643,14,3.5,899,38.0,64.21428571428571,1.5714285714285714,221.0,41.700272999999996,-87.663267
60644,3,3.6666666666666665,245,10.0,81.66666666666667,1.3333333333333333,214.0,41.880084000000004,-87.756373
60645,13,4.153846153846154,1205,70.0,92.6923076923077,1.4615384615384615,113.0,42.008558,-87.694735
60646,26,3.8846153846153846,3694,122.0,142.07692307692307,1.6923076923076923,90.0,41.993019,-87.75962700000001
60647,78,4.115384615384615,31908,290.0,409.0769230769231,1.8974358974358974,273.0,41.921215000000004,-87.70102800000001
60649,12,3.2916666666666665,361,28.5,30.083333333333332,1.4166666666666667,218.0,41.76342,-87.56587900000001
